"gisid","latitude","longitude","High Activity Insitu Well Pads","Roads","Plant/Mine","Dense Linear Features","Low Activity Well Pads","Plant/Mine Buffer","Low Disturbance/Reference"
"3-1E2-CA2_3444_2024",55.34121,-110.98306,0,0,0,0,1,0,0
"3-1E2-CA3_3444_2024",55.33853,-110.97503,0,0,0,0,1,0,0
"3-1E2-CA4_3444_2024",55.3377,-110.99501,0,0,0,0,1,0,0
"3-1F1-CA1_3444_2024",55.331692,-111.013588,0,0,0.341,0,0,0.659,0
"3-1F1-CA2_3444_2024",55.340884,-111.017287,0,0,0.325,0,0,0.675,0
"3-1F1-CA3_3444_2024",55.336483,-111.031328,0.454,0,0,0,0,0.545,0
"3-1F1-CA4_3444_2024",55.333999,-111.021021,0.076,0,0,0,0,0.924,0
"3-1F2-CA1_3444_2024",55.586658,-110.875123,0,0,0.291,0,0,0.709,0
"3-1F2-CA2_3444_2024",55.586989,-110.886973,0,0,0.416,0,0,0.584,0
"3-1F2-CA3_3444_2024",55.586545,-110.859076,0,0,0,0,0,1,0
"3-1F2-CA4_3444_2024",55.591028,-110.880959,0,0,0,0,0.068,0.931,0
"3-2A1-CA2_3444_2024",55.336443,-111.310006,0,0,0,0,0,0,1
"3-2A1-CA3_3444_2024",55.341959,-111.306996,0,0,0,0,0,0,1
"3-2A1-CA6_3444_2024",55.3377,-111.2928,0,0,0,0,0,0,1
"3-2A1-CA7_3444_2024",55.34011,-111.28799,0,0,0,0,0,0,1
"3-2B1-CA1_3444_2024",55.435481,-110.774258,0,1,0,0,0,0,0
"3-2B1-CA2_3444_2024",55.434331,-110.78304,0,1,0,0,0,0,0
"3-2B1-CA3_3444_2024",55.439562,-110.789483,0,0.914,0,0,0.086,0,0
"3-2B1-CA4_3444_2024",55.437087,-110.766168,0,0.198,0,0,0.802,0,0
"3-2C1-CA1_3444_2024",55.489916,-110.909972,0,0.006,0,0.709,0.285,0,0
"3-2C1-CA3_3444_2024",55.494688,-110.914826,0,0,0,0.502,0.497,0,0
"3-2D1-CA1_3444_2024",55.546859,-110.836583,1,0,0,0,0,0,0
"3-2D1-CA2_3444_2024",55.550075,-110.823088,1,0,0,0,0,0,0
"3-2D1-CA4_3444_2024",55.551837,-110.833841,1,0,0,0,0,0,0
"3-2E1-CA1_3444_2024",55.507692,-110.928164,0,0,0,0,1,0,0
"3-2E1-CA3_3444_2024",55.515403,-110.91085,0,0,0,0,1,0,0
"3-2E1-CA5_3444_2024",55.51123,-110.929061,0,0,0,0,1,0,0
"3-2E1-CA6_3444_2024",55.5125,-110.91438,0,0,0,0,1,0,0
"3-2F1-CA1_3444_2024",55.527525,-110.993557,0,0,0.27,0,0,0.729,0
"3-2F1-CA2_3444_2024",55.531993,-111.010492,0,0,0.264,0,0,0.736,0
"3-2F1-CA3_3444_2024",55.530618,-110.999021,0,0,0.004,0,0,0.996,0
"3-2F2-CA2_3444_2024",55.571529,-110.897933,0,0,0.492,0,0,0.507,0
"3-2F2-CA3_3444_2024",55.568088,-110.915983,0,0,0,0,0.048,0.952,0
"3-2F2-CA4_3444_2024",55.560624,-110.896021,0,0,0,0,0.339,0.66,0
"3-2F2-CA5_3444_2024",55.56577,-110.903095,0,0,0.548,0,0,0.451,0
"4-1A1-CA2_3444_2024",55.873563,-112.001284,0,0,0,0,0,0,1
"4-1A1-CA4_3444_2024",55.879304,-111.981767,0,0,0,0,0,0,1
"4-1A1-CA5_3444_2024",55.87682,-112.01024,0,0,0,0.889,0,0,0.11
"4-1A1-CA6_3444_2024",55.87566,-111.99088,0,0,0,0,0,0,1
"4-1C1-CA1_3444_2024",56.009638,-111.931976,0,0,0,1,0,0,0
"4-1C1-CA3_3444_2024",56.004498,-111.924188,0,0,0,1,0,0,0
"4-1C1-CA5_3444_2024",56.000411,-111.927015,0,0,0,1,0,0,0
"4-1C1-CA6_3444_2024",56.002281,-111.936055,0,0,0,1,0,0,0
"4-1G1-CA1_3444_2024",55.67444,-111.808087,0,0,0,1,0,0,0
"4-1G1-CA2_3444_2024",55.675323,-111.800945,0,0,0,1,0,0,0
"4-1G1-CA3_3444_2024",55.677601,-111.80524,0,0,0,1,0,0,0
"4-1G1-CA4_3444_2024",55.680365,-111.806062,0,0,0,0.942,0,0,0.058
"4-2G1-CA1_3444_2024",55.666397,-111.840134,0,0.248,0,0,0,0,0.752
"4-2G1-CA2_3444_2024",55.666829,-111.859917,0,0.089,0,0,0,0,0.91
"4-2G1-CA3_3444_2024",55.670688,-111.847768,0,0,0,0,0,0,1
"4-2G1-CA4_3444_2024",55.671489,-111.838008,0,0,0,0,0,0,1
"8-1A1-CA1_3444_2024",57.295479,-112.208158,0,0,0,0,0,0,1
"8-1A1-CA3_3444_2024",57.303628,-112.209887,0,0,0,0,0,0,1
"8-1A1-CA5_3444_2024",57.29997,-112.19944,0,0,0,0,0,0,1
"8-1A1-CA6_3444_2024",57.29998,-112.21314,0,0,0,0,0,0,1
"8-1B1-CA1_3444_2024",57.188875,-111.678468,0,0.999,0,0,0,0,0
"8-1B1-CA2_3444_2024",57.192716,-111.681934,0,1,0,0,0,0,0
"8-1B1-CA3_3444_2024",57.183412,-111.676833,0,0.865,0,0,0.135,0,0
"8-1B1-CA4_3444_2024",57.197256,-111.681135,0,0.098,0,0,0.9,0,0.001
"8-1C1-CA1_3444_2024",57.266984,-111.994467,0,0,0,0.963,0.037,0,0
"8-1C1-CA2_3444_2024",57.268491,-112.005856,0,0,0,1,0,0,0
"8-1C1-CA3_3444_2024",57.263334,-111.99598,0,0,0,1,0,0,0
"8-1C1-CA4_3444_2024",57.269513,-111.989904,0,0,0,0.833,0.167,0,0
"8-1E1-CA1_3444_2024",57.242172,-111.678449,0,0,0,0,1,0,0
"8-1E1-CA3_3444_2024",57.238833,-111.690942,0,0,0,0,1,0,0
"8-1E1-CA4_3444_2024",57.247247,-111.690805,0,0,0,0,1,0,0
"8-1E2-CA1_3444_2024",57.17518,-111.70154,0,0,0,0,1,0,0
"8-1E2-CA2_3444_2024",57.17368,-111.71512,0,0,0,0,1,0,0
"8-1E2-CA3_3444_2024",57.17156,-111.70649,0,0,0,0,1,0,0
"8-1E2-CA4_3444_2024",57.17671,-111.70836,0,0,0,0,1,0,0
"8-1E3-CA2_3444_2024",57.22155,-111.80779,0,0,0,0,1,0,0
"8-1E3-CA3_3444_2024",57.21627,-111.80641,0,0,0,0,1,0,0
"8-1F1-CA1_3444_2024",57.247662,-111.586929,0,0,0.445,0,0,0.554,0
"8-1F1-CA2_3444_2024",57.243588,-111.586901,0,0,0.434,0,0,0.565,0
"8-1F1-CA3_3444_2024",57.251404,-111.585221,0,0,0.844,0,0,0.155,0
"8-1F1-CA4_3444_2024",57.259281,-111.594782,0,0,0,0,0,1,0
"8-1F3-CA1_3444_2024",57.13354,-111.72663,0,0,0.421,0,0,0.578,0
"8-1F3-CA2_3444_2024",57.13406,-111.73774,0,0,0.108,0,0,0.891,0
"8-1F3-CA3_3444_2024",57.14102,-111.72655,0,1,0,0,0,0,0
"8-1F3-CA4_3444_2024",57.13638,-111.73183,0,0,0,0,0,0.786,0.213
"8-1F4-CA1_3444_2024",57.13227,-111.66911,0,0,0.376,0,0,0.624,0
"8-1F4-CA3_3444_2024",57.12846,-111.66751,0,0,0.03,0,0,0.97,0
"8-1F4-CA4_3444_2024",57.12531,-111.6645,0,0,0,0,0,0.92,0.079
"8-2A1-CA3_3444_2024",57.179886,-111.99407,0,0,0,0,0,0,1
"8-2A1-CA4_3444_2024",57.18349,-111.967956,0,0,0,0,0,0,1
"8-2A1-CA5_3444_2024",57.1721,-111.99901,0,0,0,0,0,0,1
"8-2A1-CA6_3444_2024",57.17675,-111.97654,0,0,0,0,0,0,1
"8-2B1-CA1_3444_2024",57.203679,-111.687318,0,1,0,0,0,0,0
"8-2B1-CA2_3444_2024",57.211054,-111.687115,0,1,0,0,0,0,0
"8-2B1-CA3_3444_2024",57.206857,-111.689885,0,0.926,0,0,0,0,0.074
"8-2B1-CA4_3444_2024",57.213619,-111.693924,0,0.201,0,0,0,0,0.798
"8-2C1-CA1_3444_2024",57.269506,-112.027679,0,0,0,1,0,0,0
"8-2C1-CA2_3444_2024",57.27628,-112.042165,0,0,0,1,0,0,0
"8-2C1-CA3_3444_2024",57.273054,-112.036884,0,0,0,1,0,0,0
"8-2C1-CA4_3444_2024",57.273225,-112.048161,0,0,0,1,0,0,0
"8-2C2-CA1_3444_2024",57.37075,-112.09386,0,0,0,1,0,0,0
"8-2C2-CA2_3444_2024",57.36771,-112.08326,0,0,0,0.571,0.429,0,0
"8-2C2-CA3_3444_2024",57.3742,-112.07868,0,0.51,0,0.298,0.191,0,0
"8-2C2-CA4_3444_2024",57.37523,-112.09212,0,0,0,1,0,0,0
"8-2E2-CA1_3444_2024",57.273312,-111.890992,0,0,0,0,0.999,0,0
"8-2E2-CA2_3444_2024",57.276067,-111.882975,0,0,0,0,1,0,0
"8-2E2-CA3_3444_2024",57.272308,-111.879767,0,0,0,0,1,0,0
"8-2E2-CA4_3444_2024",57.278349,-111.877935,0,0.43,0,0,0.57,0,0
"8-2E3-CA1_3444_2024",57.3576,-112.05227,0,0.085,0,0,0.914,0,0
"8-2E3-CA2_3444_2024",57.35327,-112.04725,0,0.298,0,0,0.702,0,0
"8-2E3-CA3_3444_2024",57.35723,-112.04459,0,0,0,0,1,0,0
"8-2E3-CA4_3444_2024",57.35176,-112.04058,0,0,0,0,1,0,0
"8-2F3-CA1_3444_2024",57.381237,-111.860704,0,0,0.488,0,0,0.511,0
"8-2F3-CA2_3444_2024",57.379263,-111.8549,0,0,0.012,0,0,0.988,0
"8-2F3-CA3_3444_2024",57.375495,-111.847066,0,0,0,0,0.617,0.383,0
"8-2F3-CA4_3444_2024",57.371409,-111.842134,0,0,0,0,1,0,0
"8-2F3-CA5_3444_2024",57.360854,-111.841222,0,0,0,0,0,1,0
"8-2F4-CA1_3444_2024",57.32519,-111.95238,0,0,0.171,0,0,0.829,0
"8-2F4-CA2_3444_2024",57.32228,-111.9486,0,0,0.202,0,0,0.797,0
"8-2F4-CA3_3444_2024",57.32845,-111.95821,0,0,0,0,0,1,0
"8-2F4-CA4_3444_2024",57.31448,-111.94562,0,0,0,0,0.533,0.467,0
